tienda;nombre;region;rol;tarifa_pvp
Sto244;nameSto244;Region_9;Rol_1;Tarifa_2
Sto245;nameSto245;Region_6;Rol_2;Tarifa_2
Sto246;nameSto246;Region_7;Rol_1;Tarifa_2
Sto247;nameSto247;Region_8;Rol_2;Tarifa_3
Sto248;nameSto248;Region_7;Rol_1;Tarifa_4
Sto249;nameSto249;Region_1;Rol_1;Tarifa_2
Sto250;nameSto250;Region_5;Rol_1;Tarifa_1
Sto251;nameSto251;Region_4;Rol_4;Tarifa_2
Sto252;nameSto252;Region_5;Rol_4;Tarifa_1
Sto253;nameSto253;Region_5;Rol_2;Tarifa_2
Sto254;nameSto254;Region_5;Rol_4;Tarifa_1
Sto255;nameSto255;Region_2;Rol_4;Tarifa_3
Sto256;nameSto256;Region_9;Rol_4;Tarifa_2
Sto257;nameSto257;Region_1;Rol_5;Tarifa_2
Sto258;nameSto258;Region_1;Rol_1;Tarifa_2
Sto259;nameSto259;Region_3;Rol_1;Tarifa_4
Sto260;nameSto260;Region_3;Rol_1;Tarifa_3
Sto261;nameSto261;Region_1;Rol_5;Tarifa_2
Sto262;nameSto262;Region_4;Rol_4;Tarifa_2
Sto263;nameSto263;Region_8;Rol_1;Tarifa_2
Sto264;nameSto264;Region_1;Rol_1;Tarifa_1
Sto265;nameSto265;Region_9;Rol_4;Tarifa_2
Sto266;nameSto266;Region_4;Rol_4;Tarifa_2
Sto267;nameSto267;Region_1;Rol_4;Tarifa_1
Sto268;nameSto268;Region_8;Rol_2;Tarifa_3
Sto269;nameSto269;Region_1;Rol_4;Tarifa_1
Sto270;nameSto270;Region_3;Rol_1;Tarifa_1
Sto271;nameSto271;Region_5;Rol_1;Tarifa_1
Sto272;nameSto272;Region_3;Rol_1;Tarifa_3
Sto273;nameSto273;Region_1;Rol_1;Tarifa_1
Sto274;nameSto274;Region_3;Rol_1;Tarifa_2
Sto275;nameSto275;Region_3;Rol_1;Tarifa_2
Sto276;nameSto276;Region_7;Rol_1;Tarifa_3
Sto277;nameSto277;Region_5;Rol_4;Tarifa_1
Sto278;nameSto278;Region_6;Rol_1;Tarifa_2
Sto279;nameSto279;Region_3;Rol_1;Tarifa_3
Sto280;nameSto280;Region_8;Rol_1;Tarifa_2
Sto281;nameSto281;Region_1;Rol_1;Tarifa_1
Sto282;nameSto282;Region_7;Rol_2;Tarifa_4
Sto283;nameSto283;Region_7;Rol_1;Tarifa_4
Sto284;nameSto284;Region_7;Rol_1;Tarifa_4
Sto285;nameSto285;Region_4;Rol_2;Tarifa_2
Sto286;nameSto286;Region_4;Rol_2;Tarifa_3
Sto287;nameSto287;Region_5;Rol_4;Tarifa_1
Sto288;nameSto288;Region_5;Rol_1;Tarifa_1
Sto289;nameSto289;Region_5;Rol_4;Tarifa_1
Sto290;nameSto290;Region_6;Rol_1;Tarifa_2
Sto291;nameSto291;Region_4;Rol_1;Tarifa_2
Sto292;nameSto292;Region_3;Rol_1;Tarifa_1
Sto293;nameSto293;Region_2;Rol_1;Tarifa_3
Sto294;nameSto294;Region_9;Rol_4;Tarifa_2
Sto295;nameSto295;Region_4;Rol_4;Tarifa_2
Sto296;nameSto296;Region_8;Rol_1;Tarifa_2
Sto297;nameSto297;Region_7;Rol_1;Tarifa_3
Sto298;nameSto298;Region_2;Rol_5;Tarifa_2
Sto299;nameSto299;Region_2;Rol_4;Tarifa_3
Sto300;nameSto300;Region_2;Rol_5;Tarifa_2
Sto301;nameSto301;Region_7;Rol_1;Tarifa_2
Sto302;nameSto302;Region_1;Rol_1;Tarifa_1
Sto303;nameSto303;Region_5;Rol_1;Tarifa_1
Sto304;nameSto304;Region_7;Rol_2;Tarifa_3
Sto305;nameSto305;Region_7;Rol_2;Tarifa_3
Sto306;nameSto306;Region_5;Rol_4;Tarifa_1
Sto307;nameSto307;Region_7;Rol_1;Tarifa_2
Sto308;nameSto308;Region_3;Rol_1;Tarifa_3
Sto309;nameSto309;Region_1;Rol_1;Tarifa_1
Sto310;nameSto310;Region_7;Rol_1;Tarifa_2
