sms;atrib;atributo
689;898;Atributo_10
692;898;Atributo_10
694;898;Atributo_10
695;652;Atributo_8
695;898;Atributo_10
696;652;Atributo_8
696;898;Atributo_10
697;45;Atributo_39
697;772;Atributo_28
697;776;Atributo_102
697;896;Atributo_15
698;664;Atributo_44
698;898;Atributo_10
699;898;Atributo_10
704;56;Atributo_5
704;73;Atributo_7
704;601;Atributo_70
705;470;Atributo_19
707;898;Atributo_10
708;24;Atributo_48
709;26;Atributo_35
709;27;Atributo_36
710;898;Atributo_10
711;652;Atributo_8
711;898;Atributo_10
713;652;Atributo_8
713;898;Atributo_10
714;652;Atributo_8
714;898;Atributo_10
715;652;Atributo_8
715;898;Atributo_10
716;898;Atributo_10
717;870;Atributo_26
717;898;Atributo_10
718;645;Atributo_106
718;664;Atributo_44
718;898;Atributo_10
719;51;Atributo_75
719;664;Atributo_44
721;664;Atributo_44
721;870;Atributo_26
722;30;Atributo_2
722;31;Atributo_3
722;628;Atributo_29
722;663;Atributo_63
724;4;Atributo_11
724;5;Atributo_45
726;652;Atributo_8
726;870;Atributo_26
727;38;Atributo_4
727;599;Atributo_57
728;652;Atributo_8
728;898;Atributo_10
729;38;Atributo_4
729;599;Atributo_57
730;663;Atributo_63
731;652;Atributo_8
731;898;Atributo_10
732;38;Atributo_4
732;55;Atributo_32
732;628;Atributo_29
733;30;Atributo_2
733;31;Atributo_3
734;31;Atributo_3
734;38;Atributo_4
735;652;Atributo_8
735;898;Atributo_10
736;30;Atributo_2
736;31;Atributo_3
736;55;Atributo_32
736;559;Atributo_34
736;870;Atributo_26
737;663;Atributo_63
737;870;Atributo_26
738;601;Atributo_70
739;593;Atributo_76
740;593;Atributo_76
741;593;Atributo_76
742;30;Atributo_2
742;31;Atributo_3
742;38;Atributo_4
742;663;Atributo_63
743;27;Atributo_36
744;663;Atributo_63
745;663;Atributo_63
747;30;Atributo_2
747;31;Atributo_3
747;663;Atributo_63
751;30;Atributo_2
751;31;Atributo_3
751;38;Atributo_4
752;30;Atributo_2
752;31;Atributo_3
753;559;Atributo_34
755;470;Atributo_19
756;898;Atributo_10
757;470;Atributo_19
758;45;Atributo_39
759;53;Atributo_24
762;53;Atributo_24
763;53;Atributo_24
766;53;Atributo_24
767;53;Atributo_24
768;53;Atributo_24
769;36;Atributo_49
769;37;Atributo_31
769;40;Atributo_16
769;53;Atributo_24
774;4;Atributo_11
775;10;Atributo_105
775;652;Atributo_8
776;652;Atributo_8
780;898;Atributo_10
783;53;Atributo_24
787;652;Atributo_8
795;898;Atributo_10
797;601;Atributo_70
799;40;Atributo_16
799;898;Atributo_10
801;53;Atributo_24
802;28;Atributo_1
803;28;Atributo_1
803;843;Atributo_43
807;652;Atributo_8
809;60;Atributo_17
810;652;Atributo_8
811;898;Atributo_10
812;652;Atributo_8
812;898;Atributo_10
813;652;Atributo_8
813;898;Atributo_10
814;652;Atributo_8
814;898;Atributo_10
815;829;Atributo_64
816;558;Atributo_88
819;24;Atributo_48
819;53;Atributo_24
819;64;Atributo_46
820;652;Atributo_8
821;36;Atributo_49
821;592;Atributo_74
822;30;Atributo_2
822;31;Atributo_3
823;30;Atributo_2
825;652;Atributo_8
827;663;Atributo_63
827;898;Atributo_10
828;26;Atributo_35
828;27;Atributo_36
828;30;Atributo_2
828;55;Atributo_32
828;56;Atributo_5
828;64;Atributo_46
828;652;Atributo_8
829;35;Atributo_22
829;663;Atributo_63
830;470;Atributo_19
830;559;Atributo_34
831;807;Atributo_67
832;27;Atributo_36
833;652;Atributo_8
834;663;Atributo_63
834;898;Atributo_10
835;652;Atributo_8
836;24;Atributo_48
836;64;Atributo_46
837;663;Atributo_63
837;898;Atributo_10
838;898;Atributo_10
839;826;Atributo_53
840;898;Atributo_10
843;57;Atributo_6
843;898;Atributo_10
844;57;Atributo_6
844;896;Atributo_15
846;663;Atributo_63
846;898;Atributo_10
847;30;Atributo_2
847;31;Atributo_3
847;38;Atributo_4
847;599;Atributo_57
848;652;Atributo_8
848;898;Atributo_10
849;35;Atributo_22
849;56;Atributo_5
849;57;Atributo_6
849;73;Atributo_7
849;896;Atributo_15
850;56;Atributo_5
850;57;Atributo_6
850;73;Atributo_7
850;896;Atributo_15
851;33;Atributo_38
851;47;Atributo_23
851;56;Atributo_5
851;896;Atributo_15
852;33;Atributo_38
852;47;Atributo_23
852;56;Atributo_5
852;57;Atributo_6
852;73;Atributo_7
852;896;Atributo_15
853;56;Atributo_5
853;73;Atributo_7
853;896;Atributo_15
854;33;Atributo_38
854;47;Atributo_23
854;56;Atributo_5
